Season,Tourney,teamA_id,teamA_name,teamB_id,teamB_name,diff_adj_def_eff,diff_adj_off_eff,diff_def_reb_rate,diff_efg_pct,diff_margin_of_victory,diff_off_reb_rate,diff_power_rating,diff_round_result,diff_seed,diff_strength_of_schedule,diff_tempo,diff_turnover_rate,label
2015,0,88,Kansas,203,Texas,-1.7999999999999972,-7.0,-1.3999999999999917,-4.399999999999999,-5.199999999999999,-0.1000000000000014,-0.0259999999999999,-32.0,-9.0,13.572000000000005,3.6000000000000014,2.0,1
2015,0,92,Kentucky,203,Texas,-9.400000000000006,13.599999999999994,-5.099999999999994,5.200000000000003,23.0,3.3999999999999986,0.041,-60.0,-10.0,4.026000000000003,-0.8999999999999986,-4.299999999999999,1
2015,0,15,Baylor,203,Texas,2.5,-7.599999999999994,-0.1999999999999886,-3.199999999999996,-10.099999999999998,1.0,-0.0799999999999999,0.0,-8.0,4.623000000000005,-0.6000000000000014,0.2000000000000028,1
2015,1,25,Butler,203,Texas,-4.400000000000006,-17.299999999999997,-2.799999999999997,-9.0,-12.9,-3.800000000000004,-0.1009999999999999,-32.0,-5.0,17.458000000000006,3.699999999999996,-1.8999999999999984,1
2015,0,239,West Virginia,203,Texas,7.700000000000003,-1.1999999999999886,-7.499999999999993,3.3999999999999986,-8.899999999999999,4.100000000000001,-0.0769999999999999,-48.0,-6.0,-11.007999999999996,7.199999999999996,-1.3999999999999986,1
2015,0,154,Oklahoma,203,Texas,-5.6000000000000085,-14.199999999999989,2.200000000000003,-4.600000000000001,-8.599999999999998,-7.900000000000002,-0.0469999999999999,-48.0,-8.0,11.065000000000005,4.800000000000004,-0.7999999999999972,1
2015,0,88,Kansas,239,West Virginia,-9.5,-5.800000000000011,6.100000000000001,-7.799999999999997,3.6999999999999993,-4.200000000000003,0.051,16.0,-3.0,24.58,-3.5999999999999943,3.3999999999999986,1
2015,1,92,Kentucky,239,West Virginia,-17.10000000000001,14.799999999999985,2.3999999999999986,1.8000000000000045,31.9,-0.7000000000000028,0.118,-12.0,-4.0,15.034,-8.099999999999994,-2.9000000000000004,1
2015,0,94,LSU,239,West Virginia,-1.8000000000000114,-13.700000000000005,5.600000000000001,-7.5,-11.9,-3.5,-0.2059999999999999,48.0,4.0,-4.264000000000003,-1.0,3.3999999999999986,1
2015,0,15,Baylor,239,West Virginia,-5.200000000000003,-6.400000000000006,7.300000000000004,-6.599999999999994,-1.1999999999999993,-3.1000000000000014,-0.003,48.0,-2.0,15.631,-7.799999999999997,1.6000000000000014,1
2015,0,203,Texas,239,West Virginia,-7.700000000000003,1.1999999999999886,7.499999999999993,-3.3999999999999986,8.899999999999999,-4.100000000000001,0.0769999999999999,48.0,6.0,11.007999999999996,-7.199999999999996,1.3999999999999986,1
2015,0,154,Oklahoma,239,West Virginia,-13.300000000000011,-13.0,9.699999999999996,-8.0,0.3000000000000007,-12.000000000000004,0.03,0.0,-2.0,22.073,-2.3999999999999915,0.6000000000000014,1
2015,0,92,Kentucky,24,Buffalo,-13.100000000000009,19.299999999999983,-9.0,4.399999999999999,32.4,6.299999999999997,0.1159999999999999,-60.0,-11.0,20.642,-9.0,0.6999999999999993,1
2015,0,244,Wisconsin,24,Buffalo,-0.1000000000000085,14.599999999999994,-0.9000000000000057,6.399999999999999,14.700000000000005,-4.200000000000003,0.0889999999999999,-62.0,-11.0,24.156,-10.700000000000005,-0.0999999999999996,1
2015,1,239,West Virginia,24,Buffalo,4.0,4.5,-11.4,2.5999999999999943,0.5,7.0,-0.002,-48.0,-7.0,5.6080000000000005,-0.9000000000000057,3.6,1
2015,0,92,Kentucky,88,Kansas,-7.600000000000008,20.599999999999994,-3.700000000000003,9.6,28.2,3.5,0.0669999999999999,-28.0,-1.0,-9.546,-4.5,-6.299999999999999,1
2015,0,239,West Virginia,88,Kansas,9.5,5.800000000000011,-6.100000000000001,7.799999999999997,-3.6999999999999993,4.200000000000003,-0.051,-16.0,3.0,-24.58,3.5999999999999943,-3.3999999999999986,1
2015,0,154,Oklahoma,88,Kansas,-3.8000000000000114,-7.199999999999989,3.5999999999999943,-0.2000000000000028,-3.3999999999999986,-7.800000000000001,-0.021,-16.0,1.0,-2.506999999999998,1.2000000000000028,-2.799999999999997,1
2015,0,92,Kentucky,167,Providence,-10.0,8.799999999999983,-4.400000000000006,-1.6999999999999955,18.8,7.200000000000003,0.027,-60.0,-5.0,-10.216,-2.700000000000003,-2.5000000000000018,1
2015,0,232,Villanova,167,Providence,-3.0,-2.800000000000012,-2.800000000000012,-0.7999999999999972,0.1999999999999993,1.5,0.003,-32.0,-5.0,-16.332,-0.4000000000000057,0.5,1
2015,0,25,Butler,167,Providence,-5.0,-22.10000000000001,-2.1000000000000085,-15.9,-17.1,0.0,-0.1149999999999999,-32.0,0.0,3.216000000000001,1.8999999999999917,-0.1000000000000014,1
2015,1,44,Dayton,167,Providence,4.200000000000003,-17.30000000000001,-3.700000000000003,-10.299999999999995,-21.5,-5.199999999999996,-0.2139999999999999,-32.0,5.0,-22.354000000000003,1.0999999999999943,1.099999999999998,1
2015,0,248,Xavier,167,Providence,9.200000000000005,-8.900000000000006,5.5,-5.299999999999997,-18.1,-5.699999999999996,-0.1629999999999999,-48.0,0.0,-10.765,1.2999999999999972,-1.0,1
2015,0,92,Kentucky,216,UCLA,-17.5,21.39999999999999,0.0,7.700000000000003,38.9,5.899999999999999,0.2209999999999999,-12.0,-10.0,-14.146999999999998,-7.400000000000006,-5.299999999999999,1
2015,0,136,North Carolina,216,UCLA,-8.799999999999997,10.700000000000005,0.2000000000000028,5.0,19.5,2.299999999999997,0.1929999999999999,0.0,-7.0,-4.094000000000001,3.1999999999999886,-1.099999999999998,1
2015,0,68,Gonzaga,216,UCLA,-2.5,12.799999999999995,1.5,11.200000000000005,15.3,-3.8000000000000007,0.1689999999999999,-8.0,-9.0,-25.618,-0.8000000000000114,-2.3999999999999986,1
2015,1,68,Gonzaga,216,UCLA,-2.5,12.799999999999995,1.5,11.200000000000005,15.3,-3.8000000000000007,0.1689999999999999,-8.0,-9.0,-25.618,-0.8000000000000114,-2.3999999999999986,1
2015,0,158,Oregon,216,UCLA,6.299999999999997,3.200000000000003,0.7000000000000028,3.899999999999999,-3.1,-9.900000000000002,-0.075,16.0,-3.0,-5.985999999999997,-1.1000000000000083,-1.599999999999998,1
2015,0,8,Arizona,216,UCLA,-5.700000000000003,7.799999999999997,10.400000000000006,5.200000000000003,13.5,-2.900000000000002,0.1639999999999999,-8.0,-9.0,-25.609,-4.6000000000000085,-5.199999999999999,1
2015,0,154,Oklahoma,216,UCLA,-13.700000000000005,-6.399999999999992,7.299999999999997,-2.1000000000000014,7.300000000000001,-5.400000000000002,0.133,0.0,-8.0,-7.107999999999997,-1.7000000000000028,-1.7999999999999972,1
2015,0,226,Utah,216,UCLA,-1.7000000000000028,11.400000000000006,13.700000000000005,10.800000000000004,13.1,6.100000000000001,0.156,0.0,-6.0,-16.961,-9.200000000000005,-1.5,1
2015,0,92,Kentucky,103,Louisville,-3.5,20.89999999999999,-6.900000000000006,7.200000000000003,24.4,1.8999999999999984,0.04,-4.0,-3.0,-6.969000000000001,-9.900000000000006,-2.700000000000001,1
2015,0,150,Notre Dame,103,Louisville,10.900000000000006,17.799999999999997,-0.7000000000000028,13.1,6.899999999999999,-12.700000000000005,0.012,0.0,-1.0,1.8489999999999969,-4.700000000000003,-0.6999999999999993,1
2015,0,233,Virginia,103,Louisville,-3.799999999999997,-4.0,4.099999999999994,-0.5,-0.1999999999999993,-7.200000000000003,0.005,24.0,-2.0,-16.429000000000002,-13.300000000000004,1.3999999999999986,1
2015,0,136,North Carolina,103,Louisville,5.200000000000003,10.200000000000005,-6.700000000000003,4.5,5.0,-1.7000000000000028,0.012,8.0,0.0,3.083999999999996,0.6999999999999886,1.5,1
2015,0,49,Duke,103,Louisville,2.9000000000000057,12.299999999999995,-7.300000000000011,4.100000000000001,9.4,-3.3000000000000043,0.025,-7.0,-3.0,-3.584000000000003,-6.400000000000006,-1.5,1
2015,0,92,Kentucky,119,Mississippi,-10.799999999999995,14.799999999999985,0.7999999999999972,2.3999999999999986,25.6,7.700000000000003,0.056,-60.0,-10.0,13.317,-3.5999999999999943,-3.700000000000001,1
2015,0,94,LSU,119,Mississippi,4.5,-13.700000000000005,4.0,-6.900000000000006,-18.200000000000003,4.900000000000006,-0.2679999999999999,0.0,-2.0,-5.981000000000002,3.5,2.599999999999998,1
2015,0,10,Arkansas,119,Mississippi,2.4000000000000057,2.6999999999999886,-7.0,-6.100000000000001,0.3000000000000007,2.8000000000000043,-0.002,-32.0,-6.0,22.356,1.5,-0.6999999999999993,1
2015,0,44,Dayton,119,Mississippi,3.4000000000000057,-11.300000000000011,1.5,-6.200000000000003,-14.7,-4.699999999999996,-0.1849999999999999,-32.0,0.0,1.1789999999999985,0.2000000000000028,-0.1000000000000014,1
2015,0,65,Georgia,119,Mississippi,9.600000000000009,-7.5,3.0999999999999943,-4.200000000000003,-17.1,-1.1999999999999955,-0.25,0.0,-1.0,17.981,-2.699999999999996,-0.9000000000000021,1
2015,1,248,Xavier,119,Mississippi,8.400000000000006,-2.9000000000000057,10.700000000000005,-1.2000000000000028,-11.3,-5.199999999999996,-0.1339999999999999,-48.0,-5.0,12.768,0.4000000000000057,-2.1999999999999997,1
2015,0,92,Kentucky,65,Georgia,-20.40000000000001,22.299999999999983,-2.299999999999997,6.600000000000001,42.7,8.899999999999999,0.306,-60.0,-9.0,-4.6640000000000015,-0.8999999999999986,-2.799999999999999,1
2015,0,94,LSU,65,Georgia,-5.1000000000000085,-6.200000000000003,0.9000000000000057,-2.700000000000003,-1.1000000000000003,6.100000000000001,-0.0179999999999999,0.0,-1.0,-23.962000000000003,6.199999999999996,3.5,1
